iter	Passed	Remaining
0	40	40652
1	77	38878
2	132	44195
3	172	43026
4	210	41926
5	251	41608
6	293	41620
7	333	41388
8	372	40972
9	411	40772
10	451	40572
11	491	40462
12	530	40298
13	573	40409
14	613	40316
15	652	40149
16	691	39995
17	730	39854
18	770	39762
19	814	39890
20	854	39841
21	894	39745
22	933	39669
23	972	39556
24	1016	39652
25	1058	39657
26	1098	39576
27	1138	39510
28	1177	39414
29	1216	39344
30	1258	39351
31	1302	39391
32	1342	39337
33	1381	39257
34	1420	39162
35	1459	39072
36	1500	39047
37	1543	39067
38	1584	39039
39	1625	39003
40	1666	38989
41	1706	38913
42	1750	38965
43	1792	38954
44	1832	38884
45	1872	38829
46	1911	38763
47	1951	38712
48	1994	38709
49	2038	38733
50	2080	38719
51	2121	38674
52	2162	38634
53	2204	38621
54	2245	38583
55	2289	38598
56	2329	38542
57	2367	38453
58	2408	38415
59	2451	38410
60	2497	38439
61	2538	38404
62	2579	38360
63	2620	38319
64	2660	38269
65	2705	38289
66	2750	38297
67	2790	38246
68	2830	38188
69	2871	38151
70	2911	38091
71	2956	38108
72	2998	38073
73	3037	38008
74	3078	37973
75	3117	37898
76	3156	37838
77	3198	37803
78	3239	37772
79	3282	37748
80	3322	37693
81	3361	37634
82	3402	37588
83	3445	37570
84	3485	37520
85	3528	37496
86	3566	37431
87	3607	37388
88	3649	37359
89	3691	37320
90	3730	37266
91	3769	37205
92	3812	37186
93	3854	37152
94	3896	37118
95	3938	37091
96	3978	37040
97	4019	36993
98	4062	36969
99	4101	36915
100	4142	36872
101	4182	36823
102	4222	36774
103	4266	36758
104	4308	36722
105	4349	36683
106	4389	36631
107	4427	36568
108	4468	36527
109	4510	36497
110	4550	36445
111	4590	36393
112	4628	36327
113	4667	36274
114	4707	36223
115	4749	36194
116	4790	36151
117	4828	36090
118	4869	36050
119	4907	35989
120	4947	35937
121	4984	35873
122	5023	35820
123	5062	35764
124	5100	35701
125	5140	35656
126	5179	35603
127	5218	35551
128	5256	35491
129	5296	35442
130	5336	35399
131	5375	35346
132	5415	35300
133	5458	35275
134	5496	35216
135	5537	35179
136	5576	35129
137	5616	35081
138	5656	35039
139	5696	34993
140	5735	34941
141	5774	34888
142	5814	34845
143	5853	34795
144	5906	34828
145	5949	34797
146	5987	34741
147	6026	34692
148	6066	34650
149	6105	34598
150	6148	34571
151	6191	34540
152	6230	34489
153	6269	34443
154	6311	34408
155	6351	34362
156	6396	34344
157	6436	34301
158	6475	34250
159	6517	34219
160	6556	34165
161	6599	34138
162	6640	34098
163	6680	34055
164	6720	34010
165	6758	33953
166	6803	33935
167	6849	33920
168	6889	33875
169	6927	33824
170	6965	33770
171	7006	33729
172	7052	33714
173	7094	33677
174	7134	33633
175	7172	33582
176	7210	33526
177	7248	33474
178	7291	33442
179	7333	33408
180	7373	33365
181	7417	33336
182	7457	33294
183	7494	33238
184	7537	33207
185	7579	33170
186	7616	33113
187	7655	33067
188	7693	33012
189	7734	32974
190	7775	32933
191	7814	32886
192	7855	32848
193	7895	32802
194	7935	32760
195	7976	32717
196	8018	32682
197	8058	32640
198	8096	32590
199	8135	32542
200	8172	32487
201	8212	32443
202	8256	32415
203	8296	32372
204	8334	32322
205	8372	32270
206	8413	32233
207	8457	32203
