ID,Prediction
10,0.07
100,0.01
1000,0.02
10000,0.01
10009,0.03
1001,0.03
10010,0.63
10012,0.05
10014,0.71
10016,0
10017,0.03
10023,0.03
10028,0.04
10029,0.66
10030,0.07
10034,0
10037,0.02
10041,0.03
10045,0.6
10047,0.01
10049,0.04
10052,0.04
10055,0.03
10057,0.01
10061,0.01
10065,0.03
10074,0.05
10082,0.06
10090,0.04
10095,0.06
10097,0.01
101,0.02
10102,0.04
10104,0.12
10107,0.06
10108,0.05
10112,0.03
10115,0
10118,0.69
1012,0.02
10120,0.04
10122,0
10123,0.03
10125,0.05
1013,0.02
10130,0.01
10140,0.02
10141,0.03
10148,0.01
1015,0.02
10157,0.06
10163,0.02
10172,0.02
10173,0.02
10174,0.05
10175,0.01
10178,0.02
10181,0.03
10182,0.02
10183,0.02
10185,0.02
10187,0.07
10188,0.06
10190,0.05
10192,0.01
102,0.01
10201,0.01
10202,0.05
10203,0.01
10210,0
10213,0.02
10215,0.07
10216,0.05
10217,0.01
10218,0.02
1022,0.01
10221,0
10223,0.01
10226,0.76
10228,0.03
10229,0.01
1023,0.01
10233,0.01
10234,0.05
10235,0.04
10244,0.01
10246,0.05
10247,0.02
10248,0
10253,0.03
10255,0.03
10256,0.07
10257,0.02
10259,0.68
10261,0
10266,0.03
10269,0
10270,0.67
10272,0.01
10274,0.57
10275,0.03
10280,0.01
10287,0.55
10290,0
10291,0.02
10292,0.03
10293,0.01
10294,0.04
10295,0.02
10297,0
103,0.03
10305,0.02
10307,0.01
10310,0.04
10312,0
10313,0.04
10314,0
1033,0.02
10334,0.04
10336,0.75
10340,0.02
10344,0.02
10354,0
10358,0.03
10361,0.03
10366,0
10372,0.02
10375,0.09
10377,0.03
10378,0.67
1038,0
10386,0.01
10388,0.02
10389,0.03
10390,0.04
10392,0.02
10394,0.05
10395,0.01
10399,0.05
10400,0.01
10401,0
10405,0.07
10407,0
1041,0.01
10410,0.02
10415,0.66
10419,0.01
1042,0.07
10424,0.04
10426,0.02
10428,0.02
10429,0.01
1043,0.08
10434,0.01
1044,0.04
10442,0.07
10444,0.03
10453,0
10455,0.04
10458,0.02
10461,0.62
10463,0.05
10466,0.02
10468,0.02
10472,0.02
10474,0.04
10479,0.08
10480,0
10486,0.71
10488,0
10489,0.04
10490,0.02
10497,0.64
10498,0.05
10499,0.06
105,0.73
1050,0.07
10504,0
10508,0.02
10510,0.03
10511,0.05
10513,0
10515,0.01
10516,0.01
10518,0.04
10520,0.08
10523,0.01
10538,0.01
10543,0
10544,0.01
10549,0.01
10550,0.04
10552,0.03
10557,0.6
10558,0.04
1056,0
10563,0
10568,0.04
10569,0
1057,0.04
10570,0.04
10572,0.74
10574,0.03
1058,0.05
10585,0.04
10587,0.06
10588,0.62
10589,0.03
10596,0.02
10599,0.07
106,0.03
10603,0.03
10605,0.03
10606,0.04
10609,0.03
10611,0.63
10612,0.06
10614,0.03
10616,0.03
10623,0.06
10625,0.02
10626,0
10627,0.03
10628,0.71
10630,0.02
10636,0.01
10637,0.04
10646,0.02
10647,0.68
10648,0.04
10650,0.61
10653,0.06
10657,0.02
10658,0.09
10659,0
10661,0.02
10664,0.03
10666,0.02
10667,0.03
10674,0.03
10675,0.01
10676,0
10684,0.02
10687,0.02
10688,0.05
10691,0.04
10694,0.66
10698,0.02
10699,0.01
107,0.04
10702,0.68
10703,0.04
10706,0.01
10707,0.05
10708,0.07
10709,0.05
1071,0.7
10710,0.01
10712,0.01
10713,0.06
10715,0.05
10716,0.05
10719,0.05
10726,0.04
10732,0.03
10736,0.71
10737,0.01
10743,0.01
10744,0.02
10745,0.02
10748,0
10749,0.01
1075,0.05
10752,0.04
10757,0.02
10760,0.02
10763,0.05
10765,0.03
10768,0
1077,0
10771,0.01
10773,0.05
10774,0.07
10776,0.03
1078,0
10780,0.07
10781,0.02
10782,0
10783,0.01
10785,0.05
10787,0.02
1079,0.02
10791,0
10793,0.02
10795,0
10796,0.02
1080,0.04
10802,0
10811,0.04
10814,0.02
10817,0.04
10818,0.06
1082,0.04
10821,0.08
10822,0.66
10823,0.01
10824,0.01
10825,0.03
10827,0.01
10828,0.02
1083,0.04
10830,0.55
10831,0.05
10832,0.01
10835,0.66
10841,0.04
10842,0.02
10843,0.02
10844,0.02
10845,0.08
10846,0.05
10847,0.02
1085,0.09
10850,0.04
10851,0.01
10852,0.02
10853,0.05
10855,0.06
10857,0.04
10861,0.02
10864,0.03
10865,0.05
10867,0.02
10873,0.67
10877,0.04
10878,0.06
10879,0.02
10887,0.06
10892,0.07
10893,0.02
10895,0.04
10897,0.75
1090,0.04
10901,0.02
10907,0.08
10909,0.03
1091,0
10910,0
10913,0.05
10916,0.05
10917,0
10920,0.04
10924,0.02
10926,0.01
10929,0.03
1093,0.03
10932,0.01
10933,0.01
10942,0.03
10945,0.74
10946,0.01
10951,0.03
10956,0.62
10957,0.02
1096,0.06
10963,0.03
10969,0.04
1097,0.01
10978,0.01
10979,0
10991,0.04
10994,0.05
10995,0.02
11002,0
11004,0.05
11005,0.01
11006,0.73
11009,0.06
11011,0.01
11016,0.7
11017,0.03
11020,0.7
11022,0.01
11026,0.6
11027,0.02
11028,0.67
11029,0.03
11031,0
11032,0.04
11033,0.01
1104,0.09
11041,0
11044,0.04
1105,0.06
11051,0.01
11054,0.01
11056,0.02
11058,0.03
1106,0.03
11061,0.03
11063,0.06
11064,0.05
1107,0.01
11071,0.02
11079,0.13
1108,0
11081,0
11083,0.02
11087,0.04
11090,0.03
11093,0.05
11097,0.69
11099,0
111,0.01
11100,0.02
11105,0.03
11107,0.06
1111,0.02
11113,0.01
11117,0.05
11118,0.02
1112,0.05
11120,0.02
11123,0.03
11126,0.02
11128,0.02
11130,0.02
11131,0.04
11132,0.04
11134,0.02
11136,0
11137,0.02
11144,0.02
11149,0.04
11159,0.73
11164,0.01
11168,0.01
1117,0.09
11170,0.04
11171,0
11172,0.01
11183,0
11187,0.02
11191,0.02
11192,0.03
11193,0.08
11196,0.01
1120,0
11202,0.02
11207,0.03
11209,0.02
1121,0
11211,0
11212,0.01
11219,0
11220,0.04
11224,0.01
11228,0.61
11230,0.03
11233,0.05
11235,0
11239,0.73
11240,0.04
11242,0.03
11243,0.02
11244,0.67
11247,0.02
11250,0
11252,0.01
11255,0.04
11257,0.05
11262,0.02
11267,0.73
11268,0
1127,0.02
11271,0.01
11274,0.04
11280,0
11284,0.01
11285,0.02
11286,0.04
11287,0
11290,0.05
11292,0.6
11294,0
113,0.02
1130,0.01
11302,0
11304,0.02
11306,0.05
11309,0.03
11315,0.02
11319,0.05
1132,0.08
11322,0.06
11324,0.02
11328,0.01
11329,0.02
11331,0.06
11336,0.56
11345,0.02
1135,0.61
11350,0.02
11353,0.03
11355,0.66
11360,0.06
11361,0.05
11368,0.01
1137,0.01
11373,0.01
11377,0.61
11384,0.02
11386,0.06
11388,0.03
11391,0.05
11393,0.04
11394,0.05
11397,0.01
11398,0.05
114,0.02
11401,0
11402,0.02
11405,0.02
11408,0.01
11410,0.04
11411,0.01
11412,0.02
11414,0
11416,0.58
11417,0.01
11419,0.59
11421,0.06
11422,0.06
11423,0.02
11426,0
1143,0.04
11431,0.07
11432,0.02
11435,0.01
11444,0.01
11454,0.02
11457,0
1146,0.03
11461,0.68
11463,0.03
11464,0.01
11465,0
11467,0.01
11468,0
11471,0.75
11473,0.69
11474,0.02
11475,0
11482,0.03
11483,0.04
11488,0.03
1149,0.04
11492,0.03
11497,0.07
1150,0.01
11500,0.07
11507,0.04
11508,0.07
1151,0.07
11513,0.01
11514,0.03
11516,0
11521,0.02
11524,0.01
11525,0.02
11526,0.06
11527,0.02
11532,0.06
11534,0.06
11541,0.02
11544,0.01
11547,0
11550,0.03
11551,0.01
11553,0.01
11558,0.01
11559,0
11561,0.01
11562,0.03
11564,0.02
11568,0.07
11572,0.01
11573,0.03
1158,0.07
11588,0.64
11589,0.04
11599,0.18
116,0.55
11602,0.02
11604,0.02
11609,0.02
11616,0
11618,0.03
11619,0.04
11622,0
11626,0.02
11628,0.09
1163,0.03
11631,0.05
11633,0.02
11634,0.04
11636,0.03
11637,0.01
11640,0.04
11648,0.68
1165,0.01
11653,0.04
11655,0.03
11656,0.03
1166,0.03
11660,0.04
11661,0.08
11662,0.02
11663,0.01
11665,0.77
11667,0.09
11672,0.01
11673,0.04
11674,0.06
11677,0.04
11679,0.68
1168,0.02
11682,0.02
11683,0.01
11685,0.03
11689,0.07
1169,0.06
11690,0
11692,0.67
11694,0.68
117,0.09
11702,0.01
11711,0.02
11716,0.03
11719,0
1172,0.02
11720,0.01
11722,0.04
11724,0
11725,0.06
1173,0.01
11730,0.03
11732,0.68
11733,0.63
11734,0.02
11737,0.74
11747,0.73
1175,0.04
11750,0.04
11751,0.03
11760,0.04
11761,0
11764,0.01
11769,0
11770,0.01
11771,0.08
11803,0.02
11805,0.03
11806,0.01
11807,0.08
11808,0.68
11810,0
11813,0.07
11815,0.02
11816,0.64
11818,0.02
11819,0.03
11820,0.05
11824,0.07
11825,0
11827,0.05
11835,0.68
11840,0.73
11844,0.03
11845,0.02
11848,0
11853,0
11854,0.02
11855,0.1
11856,0.01
11858,0.02
11859,0.7
11861,0.02
11862,0.08
11865,0.67
11870,0.02
11872,0.04
11873,0.01
11875,0.65
11884,0.07
11889,0.02
11890,0.03
11895,0.03
11898,0.03
119,0.03
11905,0.01
11910,0.07
11913,0.05
11914,0.01
11917,0.06
11929,0.02
1193,0
11937,0.59
1194,0.02
11941,0.01
11942,0.1
11944,0.02
11946,0.02
11951,0.05
11952,0.62
11956,0.65
11961,0.02
11962,0.08
11965,0.04
11970,0.06
11979,0.02
11982,0.03
11985,0.03
11987,0.03
11989,0.04
1199,0
11996,0
11997,0.08
120,0.02
12000,0.02
12006,0.01
12007,0.73
12011,0.62
12015,0.69
12017,0.01
12018,0.03
12022,0.04
12025,0.71
12028,0.02
12031,0.06
12034,0.02
12037,0
12041,0.02
12051,0
12053,0.03
12054,0.03
12061,0
12066,0.01
12071,0.01
12074,0.03
12075,0.02
12076,0.01
12080,0
12083,0.01
12094,0.02
12106,0.71
12109,0.02
12110,0.05
12114,0.07
