ID,Prediction
10,0.00
100,0.00
1000,0.00
10000,0.00
10009,0.00
1001,0.00
10010,0.00
10012,0.00
10014,0.00
10016,0.00
10017,0.00
10023,0.00
10028,0.00
10029,0.00
10030,0.00
10034,0.00
10037,0.00
10041,0.00
10045,0.00
10047,0.00
10049,0.00
10052,0.00
10055,0.00
10057,0.00
10061,0.00
10065,0.00
10074,0.00
10082,0.00
10090,0.00
10095,0.00
10097,0.00
101,0.00
10102,0.00
10104,0.00
10107,0.00
10108,0.00
10112,0.00
10115,0.00
10118,0.00
1012,0.00
10120,0.00
10122,0.00
10123,0.00
10125,0.00
1013,0.00
10130,0.00
10140,0.00
10141,0.00
10148,0.00
1015,0.00
10157,0.00
10163,0.00
10172,0.00
10173,0.00
10174,0.00
10175,0.00
10178,0.00
10181,0.00
10182,0.00
10183,0.00
10185,0.00
10187,0.00
10188,0.00
10190,0.00
10192,0.00
102,0.00
10201,0.00
10202,0.00
10203,0.00
10210,0.00
10213,0.00
10215,0.00
10216,0.00
10217,0.00
10218,0.00
1022,0.00
10221,0.00
10223,0.00
10226,0.00
10228,0.00
10229,0.00
1023,0.00
10233,0.00
10234,0.00
10235,0.00
10244,0.00
10246,0.00
10247,0.00
10248,0.00
10253,0.00
10255,0.00
10256,0.00
10257,0.00
10259,0.00
10261,0.00
10266,0.00
10269,0.00
10270,0.00
10272,0.00
10274,0.00
10275,0.00
10280,0.00
10287,0.00
10290,0.00
10291,0.00
10292,0.00
10293,0.00
10294,0.00
10295,0.00
10297,0.00
103,0.00
10305,0.00
10307,0.00
10310,0.00
10312,0.00
10313,0.00
10314,0.00
1033,0.00
10334,0.00
10336,0.00
10340,0.00
10344,0.00
10354,0.00
10358,0.00
10361,0.00
10366,0.00
10372,0.00
10375,0.00
10377,0.00
10378,0.00
1038,0.00
10386,0.00
10388,0.00
10389,0.00
10390,0.00
10392,0.00
10394,0.00
10395,0.00
10399,0.00
10400,0.00
10401,0.00
10405,0.00
10407,0.00
1041,0.00
10410,0.00
10415,0.00
10419,0.00
1042,0.00
10424,0.00
10426,0.00
10428,0.00
10429,0.00
1043,0.00
10434,0.00
1044,0.00
10442,0.00
10444,0.00
10453,0.00
10455,0.00
10458,0.00
10461,0.00
10463,0.00
10466,0.00
10468,0.00
10472,0.00
10474,0.00
10479,0.00
10480,0.00
10486,0.00
10488,0.00
10489,0.00
10490,0.00
10497,0.00
10498,0.00
10499,0.00
105,0.00
1050,0.00
10504,0.00
10508,0.00
10510,0.00
10511,0.00
10513,0.00
10515,0.00
10516,0.00
10518,0.00
10520,0.00
10523,0.00
10538,0.00
10543,0.00
10544,0.00
10549,0.00
10550,0.00
10552,0.00
10557,0.00
10558,0.00
1056,0.00
10563,0.00
10568,0.00
10569,0.00
1057,0.00
10570,0.00
10572,0.00
10574,0.00
1058,0.00
10585,0.00
10587,0.00
10588,0.00
10589,0.00
10596,0.00
10599,0.00
106,0.00
10603,0.00
10605,0.00
10606,0.00
10609,0.00
10611,0.00
10612,0.00
10614,0.00
10616,0.00
10623,0.00
10625,0.00
10626,0.00
10627,0.00
10628,0.00
10630,0.00
10636,0.00
10637,0.00
10646,0.00
10647,0.00
10648,0.00
10650,0.00
10653,0.00
10657,0.00
10658,0.00
10659,0.00
10661,0.00
10664,0.00
10666,0.00
10667,0.00
10674,0.00
10675,0.00
10676,0.00
10684,0.00
10687,0.00
10688,0.00
10691,0.00
10694,0.00
10698,0.00
10699,0.00
107,0.00
10702,0.00
10703,0.00
10706,0.00
10707,0.00
10708,0.00
10709,0.00
1071,0.00
10710,0.00
10712,0.00
10713,0.00
10715,0.00
10716,0.00
10719,0.00
10726,0.00
10732,0.00
10736,0.00
10737,0.00
10743,0.00
10744,0.00
10745,0.00
10748,0.00
10749,0.00
1075,0.00
10752,0.00
10757,0.00
10760,0.00
10763,0.00
10765,0.00
10768,0.00
1077,0.00
10771,0.00
10773,0.00
10774,0.00
10776,0.00
1078,0.00
10780,0.00
10781,0.00
10782,0.00
10783,0.00
10785,0.00
10787,0.00
1079,0.00
10791,0.00
10793,0.00
10795,0.00
10796,0.00
1080,0.00
10802,0.00
10811,0.00
10814,0.00
10817,0.00
10818,0.00
1082,0.00
10821,0.00
10822,0.00
10823,0.00
10824,0.00
10825,0.00
10827,0.00
10828,0.00
1083,0.00
10830,0.00
10831,0.00
10832,0.00
10835,0.00
10841,0.00
10842,0.00
10843,0.00
10844,0.00
10845,0.00
10846,0.00
10847,0.00
1085,0.00
10850,0.00
10851,0.00
10852,0.00
10853,0.00
10855,0.00
10857,0.00
10861,0.00
10864,0.00
10865,0.00
10867,0.00
10873,0.00
10877,0.00
10878,0.00
10879,0.00
10887,0.00
10892,0.00
10893,0.00
10895,0.00
10897,0.00
1090,0.00
10901,0.00
10907,0.00
10909,0.00
1091,0.00
10910,0.00
10913,0.00
10916,0.00
10917,0.00
10920,0.00
10924,0.00
10926,0.00
10929,0.00
1093,0.00
10932,0.00
10933,0.00
10942,0.00
10945,0.00
10946,0.00
10951,0.00
10956,0.00
10957,0.00
1096,0.00
10963,0.00
10969,0.00
1097,0.00
10978,0.00
10979,0.00
10991,0.00
10994,0.00
10995,0.00
11002,0.00
11004,0.00
11005,0.00
11006,0.00
11009,0.00
11011,0.00
11016,0.00
11017,0.00
11020,0.00
11022,0.00
11026,0.00
11027,0.00
11028,0.00
11029,0.00
11031,0.00
11032,0.00
11033,0.00
1104,0.00
11041,0.00
11044,0.00
1105,0.00
11051,0.00
11054,0.00
11056,0.00
11058,0.00
1106,0.00
11061,0.00
11063,0.00
11064,0.00
1107,0.00
11071,0.00
11079,0.00
1108,0.00
11081,0.00
11083,0.00
11087,0.00
11090,0.00
11093,0.00
11097,0.00
11099,0.00
111,0.00
11100,0.00
11105,0.00
11107,0.00
1111,0.00
11113,0.00
11117,0.00
11118,0.00
1112,0.00
11120,0.00
11123,0.00
11126,0.00
11128,0.00
11130,0.00
11131,0.00
11132,0.00
11134,0.00
11136,0.00
11137,0.00
11144,0.00
11149,0.00
11159,0.00
11164,0.00
11168,0.00
1117,0.00
11170,0.00
11171,0.00
11172,0.00
11183,0.00
11187,0.00
11191,0.00
11192,0.00
11193,0.00
11196,0.00
1120,0.00
11202,0.00
11207,0.00
11209,0.00
1121,0.00
11211,0.00
11212,0.00
11219,0.00
11220,0.00
11224,0.00
11228,0.00
11230,0.00
11233,0.00
11235,0.00
11239,0.00
11240,0.00
11242,0.00
11243,0.00
11244,0.00
11247,0.00
11250,0.00
11252,0.00
11255,0.00
11257,0.00
11262,0.00
11267,0.00
11268,0.00
1127,0.00
11271,0.00
11274,0.00
11280,0.00
11284,0.00
11285,0.00
11286,0.00
11287,0.00
11290,0.00
11292,0.00
11294,0.00
113,0.00
1130,0.00
11302,0.00
11304,0.00
11306,0.00
11309,0.00
11315,0.00
11319,0.00
1132,0.00
