Idx,numbers,categorys,times,dates
10001,11,10,1,13
10002,21,15,3,233
10003,10,9,1,8
10006,10,9,1,5
10007,10,10,2,7
10008,9,9,1,7
10011,10,9,1,4
10015,12,11,2,35
10019,16,13,4,2
10021,4,4,1,7
10022,13,10,1,5
10024,10,9,1,14
10026,21,16,2,12
10027,10,9,2,6
10031,10,9,1,15
10032,10,9,1,6
10036,14,11,3,7
10039,10,9,1,2
10040,9,9,1,3
10044,12,11,2,4
10050,12,10,2,6
10054,10,9,1,4
10059,20,12,3,4
1006,12,11,3,0
10063,13,12,2,2
10067,10,9,1,4
10068,12,10,3,6
10069,13,10,2,2
1007,24,12,2,2
10070,10,9,1,10
10072,14,13,1,3
10073,10,9,1,17
10075,16,14,2,3
10077,10,9,1,7
10079,10,9,1,3
10080,11,10,1,11
10081,9,9,1,6
10084,10,9,1,11
10086,14,12,2,13
10087,13,12,2,65
10088,14,12,2,450
10089,10,9,1,6
1009,12,11,2,0
10091,9,9,1,41
10096,10,9,1,7
10100,9,9,1,7
10101,10,9,1,7
10105,14,10,2,6
10106,10,9,1,7
10109,6,6,1,4
10110,10,9,2,9
10111,10,9,1,7
10113,11,10,1,7
10116,14,13,2,15
10119,10,9,1,5
10124,10,9,1,6
10128,12,10,2,8
10132,10,9,2,11
10135,10,9,2,12
10137,11,11,2,34
10138,10,9,1,12
1014,21,11,1,7
10145,10,9,1,6
10146,10,9,1,7
10147,10,9,1,13
10151,3,3,1,7
10152,10,9,2,5
10153,10,10,2,11
10155,10,9,1,14
10156,10,9,1,7
10158,10,9,1,5
10160,15,13,2,7
10164,46,14,8,10
10165,10,9,1,8
10166,10,9,1,7
10169,13,10,2,12
1017,14,13,2,1
10171,14,12,2,4
10189,35,24,5,9
10193,10,9,1,11
10195,10,10,2,7
10196,10,9,1,5
1020,11,11,1,8
10206,10,9,1,5
10208,11,9,2,6
1021,15,11,2,3
10212,11,10,1,9
10220,20,10,1,15
10225,9,9,1,5
10230,14,9,3,8
10236,15,12,2,9
10238,10,9,1,6
1024,17,14,4,4
10241,10,9,1,6
10243,11,10,1,5
10249,9,9,1,5
10251,10,9,1,13
10254,15,14,1,6
10258,12,10,3,12
1026,12,12,1,3
10263,13,12,2,5
10264,10,9,1,5
1027,18,15,3,129
10273,10,9,1,13
10276,10,9,1,4
10277,11,10,2,11
10279,10,9,1,10
1028,14,13,1,3
10283,11,10,2,5
10288,10,9,1,11
1029,11,11,1,3
10299,32,17,2,473
1030,26,13,2,5
10300,23,14,4,43
10302,10,9,1,9
10304,13,12,2,114
10306,10,9,1,4
10308,11,10,1,4
10311,9,9,1,9
10315,10,9,1,4
10316,11,11,2,12
10319,11,9,2,2
1032,13,12,1,17
10320,10,9,1,4
10321,11,11,2,99
10323,10,9,1,14
10324,10,9,1,5
10325,13,11,1,11
10327,10,10,2,50
10328,10,9,1,10
10329,12,11,2,66
10331,13,12,2,10
10332,16,12,2,4
10335,10,9,1,9
10338,11,9,2,61
10341,10,9,1,4
10342,34,12,1,90
10346,10,9,1,15
10347,11,11,1,94
10349,10,9,2,24
10350,10,9,1,5
10352,18,13,3,8
10353,10,9,1,5
10360,10,9,1,11
10362,15,13,3,0
10365,10,9,1,9
10368,9,9,1,10
10369,10,9,1,15
1037,12,12,1,6
10370,14,13,1,10
10371,10,9,2,51
